channel, format, lang, yt_title, yt_url
FC Barcelona,    mp4_1280x720, eng, FULL MATCH: Barça 5-2 Mallorca (2019/2020), https://youtu.be/rxslQS6KTS4
FC Barcelona,    mp4_1280x720, eng, FULL MATCH: Real Madrid 2 - 3 Barça (2017) Messi grabs dramatic late win in #ElClásico!!, https://youtu.be/3j_daNHio4o
FC Barcelona,    mp4_1280x720, eng, FULL MATCH: BARÇA 3-2 REAL MADRID (SPANISH SUPERCUP FINAL), https://youtu.be/IPMxipAkvCI
FIFA TV,         mp4_1280x720, eng, Portugal v Spain | 2018 FIFA World Cup | Full Match, https://youtu.be/Xhu5Bz1xDf0
Emirates FA Cup, mp4_1280x720, eng, FULL MATCH | The Blues Too Strong For Manchester United | Emirates FA Cup Semi-Final 2019-20, https://youtu.be/fCG2ENyzbEA
La Liga,         mp4_1280x720, esp, Full Match Real Madrid vs Atlético de Madrid LaLiga 2017/2018, https://youtu.be/DqOnf9_sJ8A
